normal_time,abnormal_time,result_list,inject_time,inject_pod,inject_type,root_cause
2022-08-22 03:51,2022-08-22 03:54,"[{'events': '76_4', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'resource_alert': 'CpuUsageRate(%)', 'events_actual': '76_197'}]",2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention,['CpuUsageRate(%)']
2022-08-22 03:51,2022-08-22 03:55,"[{'events': '76_4', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'resource_alert': 'CpuUsageRate(%)', 'events_actual': '76_197'}, {'events': '104_106', 'score': 0.7028169014084507, 'deepth': 2, 'pod': 'currencyservice-cf787dd48-vpjrd'}]",2022-08-22 03:53:54,frontend-579b9bff58-t2dbm,cpu_contention,['CpuUsageRate(%)']
2022-08-22 03:51,2022-08-22 04:03,"[{'events': '120_198', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '27_26', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '28_119', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '28_120', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '18_78', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_17', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_80', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_82', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_84', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_86', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}]",2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return,"['Serving product page started', 'GetProduct start']"
2022-08-22 03:51,2022-08-22 04:04,"[{'events': '120_198', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '27_26', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '28_119', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '28_120', 'score': 1.0, 'deepth': 4, 'pod': 'adservice-5f6585d649-fnmft', 'resource_alert': 'MemoryUsageRate(%)'}, {'events': '18_78', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_17', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_80', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_82', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_84', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}, {'events': '18_86', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '18_191'}]",2022-08-22 04:02:07,frontend-579b9bff58-t2dbm,return,"['Serving product page started', 'GetProduct start']"
2022-08-22 03:51,2022-08-22 04:11,"[{'events': '76_4', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'resource_alert': 'CpuUsageRate(%)', 'events_actual': '76_197'}]",2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed,['CpuUsageRate(%)']
2022-08-22 03:51,2022-08-22 04:12,"[{'events': '76_4', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'resource_alert': 'CpuUsageRate(%)', 'events_actual': '76_197'}, {'events': '24_100', 'score': 0.75, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}]",2022-08-22 04:10:20,frontend-579b9bff58-t2dbm,cpu_consumed,['CpuUsageRate(%)']
2022-08-22 03:51,2022-08-22 04:19,"[{'events': '50_49', 'score': 0.8181818181818182, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '50_139'}]",2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception,"['Placing order started', 'Order placed complete']"
2022-08-22 03:51,2022-08-22 04:20,"[{'events': '50_49', 'score': 1.0, 'deepth': 1, 'pod': 'frontend-579b9bff58-t2dbm', 'events_actual': '50_139'}]",2022-08-22 04:18:35,frontend-579b9bff58-t2dbm,exception,"['Placing order started', 'Order placed complete']"
2022-08-22 03:51,2022-08-22 04:28,"[{'events': '102_25', 'score': 1.0, 'deepth': 6, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '102_199'}, {'events': '183_75', 'score': 1.0, 'deepth': 5, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '183_199'}, {'events': '169_5', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '169_199'}]",2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay,['NetworkP90(ms)']
2022-08-22 03:51,2022-08-22 04:29,"[{'events': '102_25', 'score': 1.0, 'deepth': 6, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '102_199'}, {'events': '183_75', 'score': 1.0, 'deepth': 5, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '183_199'}, {'events': '24_100', 'score': 1.0, 'deepth': 3, 'pod': 'currencyservice-cf787dd48-vpjrd'}, {'events': '169_5', 'score': 1.0, 'deepth': 2, 'pod': 'cartservice-579f59597d-wc2lz', 'events_actual': '169_199'}]",2022-08-22 04:27:03,cartservice-579f59597d-wc2lz,network_delay,['NetworkP90(ms)']
